Cluster	Sadie-004_VK-10796_Plate-14_MM-10873_Plate01_A06_Sadie-004_VK-10796_Plate-14	Sadie-005_VK-10796_Plate-14_MM-10873_Plate01_B06_Sadie-005_VK-10796_Plate-14	Sadie-006_VK-10796_Plate-14_MM-10873_Plate01_C06_Sadie-006_VK-10796_Plate-14	Sadie-011_VK-10796_Plate-14_MM-10873_Plate01_D06_Sadie-011_VK-10796_Plate-14	Sadie-013_VK-10796_Plate-14_MM-10873_Plate01_E06_Sadie-013_VK-10796_Plate-14	Sadie-016_VK-10796_Plate-14_MM-10873_Plate01_F06_Sadie-016_VK-10796_Plate-14	Sadie-018_VK-10796_Plate-14_MM-10873_Plate01_G06_Sadie-018_VK-10796_Plate-14	Sadie-023_VK-10796_Plate-14_MM-10873_Plate01_H06_Sadie-023_VK-10796_Plate-14	Sadie-026_VK-10796_Plate-14_MM-10873_Plate01_A07_Sadie-026_VK-10796_Plate-14	Sadie-028_VK-10796_Plate-14_MM-10873_Plate01_B07_Sadie-028_VK-10796_Plate-14	Sadie-029_VK-10796_Plate-14_MM-10873_Plate01_C07_Sadie-029_VK-10796_Plate-14	Sadie-033_VK-10796_Plate-14_MM-10873_Plate01_D07_Sadie-033_VK-10796_Plate-14	Sadie-034_VK-10796_Plate-14_MM-10873_Plate01_E07_Sadie-034_VK-10796_Plate-14	Sadie-036_VK-10796_Plate-14_MM-10873_Plate01_F07_Sadie-036_VK-10796_Plate-14	Sadie-037_VK-10796_Plate-14_MM-10873_Plate01_G07_Sadie-037_VK-10796_Plate-14	Sadie-038_VK-10796_Plate-14_MM-10873_Plate01_H07_Sadie-038_VK-10796_Plate-14
0	0.09983205945073738	0.06723090199900515	0.05724569435250956	0.8686746947328927	0.05454777424897366	-0.0913684007413055	-0.1389165822578065	0.10603640970797097	0.10390609298671005	0.10859504225764342	0.10381384289562129	0.06876218958095295	0.1150189713761929	0.10586163665628243	0.08920218632927983	0.08891609706071515
1	0.07662773689539694	0.08603824145763175	0.04028224118658776	-0.13643561777964586	0.05895040265830883	-0.10172870040856437	0.8795533743646431	0.0913081408642696	0.09912037923781691	0.09413508966890632	0.10399040830694743	0.057578696236591675	0.08498178334931616	0.07424734982292391	0.10092818968626736	0.09007533537165746
2	0.07750039324773765	0.06534312936438644	0.04904404749470308	-0.10524779663193237	0.04554219326949296	0.8374848713370384	-0.12003835197471616	0.08750495173116449	0.07668856679617561	0.09900959848938581	0.10094046643600106	0.05341703078593377	0.07103981702975215	0.09653109663127227	0.07566202321027672	0.09773800572352873
