Cluster	Sadie-004_VK-10796_Plate-14_MM-10873_Plate01_A06_Sadie-004_VK-10796_Plate-14	Sadie-005_VK-10796_Plate-14_MM-10873_Plate01_B06_Sadie-005_VK-10796_Plate-14	Sadie-006_VK-10796_Plate-14_MM-10873_Plate01_C06_Sadie-006_VK-10796_Plate-14	Sadie-011_VK-10796_Plate-14_MM-10873_Plate01_D06_Sadie-011_VK-10796_Plate-14	Sadie-013_VK-10796_Plate-14_MM-10873_Plate01_E06_Sadie-013_VK-10796_Plate-14	Sadie-016_VK-10796_Plate-14_MM-10873_Plate01_F06_Sadie-016_VK-10796_Plate-14	Sadie-018_VK-10796_Plate-14_MM-10873_Plate01_G06_Sadie-018_VK-10796_Plate-14	Sadie-023_VK-10796_Plate-14_MM-10873_Plate01_H06_Sadie-023_VK-10796_Plate-14	Sadie-026_VK-10796_Plate-14_MM-10873_Plate01_A07_Sadie-026_VK-10796_Plate-14	Sadie-028_VK-10796_Plate-14_MM-10873_Plate01_B07_Sadie-028_VK-10796_Plate-14	Sadie-029_VK-10796_Plate-14_MM-10873_Plate01_C07_Sadie-029_VK-10796_Plate-14	Sadie-033_VK-10796_Plate-14_MM-10873_Plate01_D07_Sadie-033_VK-10796_Plate-14	Sadie-034_VK-10796_Plate-14_MM-10873_Plate01_E07_Sadie-034_VK-10796_Plate-14	Sadie-036_VK-10796_Plate-14_MM-10873_Plate01_F07_Sadie-036_VK-10796_Plate-14	Sadie-037_VK-10796_Plate-14_MM-10873_Plate01_G07_Sadie-037_VK-10796_Plate-14	Sadie-038_VK-10796_Plate-14_MM-10873_Plate01_H07_Sadie-038_VK-10796_Plate-14
0	0.08348800488706647	0.07636469716858704	0.05776669500236711	0.09380462861016554	0.047756180902861184	0.08377568229675461	0.08185872611623406	0.8313691858259519	-0.07644904866878789	0.07478552073735324	-0.12384422741734649	0.060685628024445146	0.1105707312775607	0.1053519999295025	0.08378092270009649	0.09723000365328381
1	0.08127135135137235	0.06617707946183582	0.07814868792549451	0.10634412706160291	0.06880910335753095	0.10751204924222327	0.09458300733439219	-0.11644775141232944	-0.12610665277555136	0.11531352666462369	0.8692428390253517	0.07039566886705124	0.11013974619177404	0.09408727985263036	0.09433972030858366	0.10495000076735048
2	0.0869413077986641	0.08870496122279795	0.06029826838651812	0.11053497315710516	0.04366720660169425	0.08280532536915144	0.11210383165032127	-0.0785806885737926	0.8475840289638565	0.09441631159156458	-0.13494951648908476	0.0665905920451495	0.09935309469982817	0.11573547600419912	0.10608922732434221	0.09883540456652246
