Cluster	Sadie-004_VK-10796_Plate-14_MM-10873_Plate01_A06_Sadie-004_VK-10796_Plate-14	Sadie-005_VK-10796_Plate-14_MM-10873_Plate01_B06_Sadie-005_VK-10796_Plate-14	Sadie-006_VK-10796_Plate-14_MM-10873_Plate01_C06_Sadie-006_VK-10796_Plate-14	Sadie-011_VK-10796_Plate-14_MM-10873_Plate01_D06_Sadie-011_VK-10796_Plate-14	Sadie-013_VK-10796_Plate-14_MM-10873_Plate01_E06_Sadie-013_VK-10796_Plate-14	Sadie-016_VK-10796_Plate-14_MM-10873_Plate01_F06_Sadie-016_VK-10796_Plate-14	Sadie-018_VK-10796_Plate-14_MM-10873_Plate01_G06_Sadie-018_VK-10796_Plate-14	Sadie-023_VK-10796_Plate-14_MM-10873_Plate01_H06_Sadie-023_VK-10796_Plate-14	Sadie-026_VK-10796_Plate-14_MM-10873_Plate01_A07_Sadie-026_VK-10796_Plate-14	Sadie-028_VK-10796_Plate-14_MM-10873_Plate01_B07_Sadie-028_VK-10796_Plate-14	Sadie-029_VK-10796_Plate-14_MM-10873_Plate01_C07_Sadie-029_VK-10796_Plate-14	Sadie-033_VK-10796_Plate-14_MM-10873_Plate01_D07_Sadie-033_VK-10796_Plate-14	Sadie-034_VK-10796_Plate-14_MM-10873_Plate01_E07_Sadie-034_VK-10796_Plate-14	Sadie-036_VK-10796_Plate-14_MM-10873_Plate01_F07_Sadie-036_VK-10796_Plate-14	Sadie-037_VK-10796_Plate-14_MM-10873_Plate01_G07_Sadie-037_VK-10796_Plate-14	Sadie-038_VK-10796_Plate-14_MM-10873_Plate01_H07_Sadie-038_VK-10796_Plate-14
0	0.09324206689724593	0.08533706929816783	0.0668248832068032	-0.12185666443422272	0.04575606114680773	0.09583266929748567	0.08942320562868028	0.09285215150521416	0.08369491476948039	0.09516634457514772	0.09615746014231415	0.05449609228927325	0.09062396204993918	-0.10486055323950831	0.08524815661220546	0.8418463991099875
1	0.10460645471821624	0.06781079654527693	0.04965532912831933	0.8372059619581671	0.06012403765031347	0.09561802516810808	0.1079878034984892	0.10124527703555826	0.11794890004654204	0.10843851731900997	0.11574824195697542	0.06980851942539186	0.10180448879610635	-0.10421949814099776	0.09114394124283746	-0.10131761257151754
2	0.09186835749244729	0.09352083181141102	0.05582367568937768	-0.11187576682228915	0.050544240975612366	0.1091129081116089	0.09921093901582956	0.11110470472017377	0.12510126332303148	0.0974396254667677	0.09133854866277437	0.06416835910324008	0.08912117340034967	0.8591527194080014	0.09206958613202709	-0.1135133923524943
